Recency,Frequency,Monetary,InterpurchaseTime,ImpulseScore,Cluster_K4,Cluster_K5,PCA1,PCA2
2,2.4849066497880004,8.342127645985029,1.5170645923030852,0.9019607843137255,2,2,2.5399836989289124,-0.09311099646336841
1,5.327876168789581,10.298388051160632,0.06344263061693409,0.9910186199342825,2,2,5.301016285308187,1.858897502905486
4,1.791759469228055,8.304465209249729,0.7182111492231615,0.9847715736040609,2,2,1.584839962866149,0.7673177331160987
3,1.6094379124341003,6.849426769082011,1.8797282421740122,0.9482758620689655,1,1,1.2389938640719456,-0.4296248966464581
214,0.6931471805599453,4.540311613639595,0.0,1.0,0,4,-2.3582126492379287,0.2935548582372996
71,1.0986122886681098,6.856335660826602,0.3042113744029915,0.9777777777777777,0,0,-0.15650592935825808,0.5874944733795783
75,1.791759469228055,7.473353138595107,4.02535169073515,0.0,3,3,2.284784216604951,-6.699191547293436
60,0.6931471805599453,5.986753467377863,0.0,1.0,0,0,-0.9788328039564982,0.6888492798735446
3,2.0794415416798357,7.296901285267718,1.6072132174119893,0.9333333333333333,2,2,1.740575558654236,-0.22159929792224015
6,1.3862943611198906,6.066456057398334,0.9490805546971459,0.9166666666666666,1,1,0.29854892390822535,-0.22120734480022483
3,1.9459101490553132,6.927273552128017,1.1856236656577395,0.9090909090909091,2,2,1.2867106913956756,-0.18489452518938534
337,1.0986122886681098,4.913757219119768,1.575536360758419,0.8333333333333334,0,4,-1.7587172632653993,-1.5150458366858686
91,1.6094379124341003,7.581780800334496,2.268683541318364,0.6666666666666666,1,1,1.3426686304635511,-2.08015180121784
262,0.6931471805599453,5.3755098623779425,0.0,1.0,0,4,-2.1990477676728957,0.4315759244177694
32,1.0986122886681098,5.950720674536128,1.252762968495368,0.9615384615384616,1,1,-0.004088099692975145,-0.22374946619605732
145,0.6931471805599453,6.0363901104609745,0.0,1.0,0,0,-1.351732453237117,0.6429190070436855
283,0.6931471805599453,5.7474165116762626,0.0,1.0,0,4,-2.126432247972546,0.49328197682914177
59,1.6094379124341003,7.868583334984023,0.8930338697098877,0.9827586206896551,2,2,1.042692319056547,0.5140099389073537
173,0.6931471805599453,4.906015244966153,0.0,1.0,0,4,-1.9998563292990152,0.39485733586480226
34,1.0986122886681098,6.528147958043258,1.3315438463484823,0.9918032786885246,1,1,0.28088672206653525,0.007417166698089305
3,2.70805020110221,8.629167388389371,0.7655421391045746,0.9584664536741214,2,2,2.550858707390027,0.7321995813892289
144,1.6094379124341003,7.911239704558553,0.544191317609791,0.9732142857142857,2,2,0.525845849151781,0.6236492267736606
5,3.258096538021482,8.299870167916959,0.6149921094312093,0.9474940334128878,2,2,2.805622979256348,0.7355245579382768
70,1.0986122886681098,6.961286567192258,2.132686056198648,0.96875,1,1,0.6381851415708335,-0.5298776273978609
66,2.1972245773362196,7.440299340765267,1.0653866410397892,0.9313725490196079,2,2,1.395243219615475,0.08746267099754697
29,1.0986122886681098,5.789837839256022,1.0920548881219507,0.9803921568627451,1,1,-0.13032281020931388,-0.057522641044930656
267,1.3862943611198906,4.985590952989995,0.6312717768418579,0.96,0,4,-1.5433496060456533,-0.19089528401894462
22,0.6931471805599453,6.771408498297926,0.0,1.0,0,0,-0.44252899990979033,0.8732754431675185
31,1.0986122886681098,6.958343825092948,1.747459210331475,0.98,1,1,0.6613792685483005,-0.21463610990435594
97,0.6931471805599453,4.9139775400548205,0.0,1.0,0,0,-1.6424630207146518,0.4465567731128196
295,0.6931471805599453,5.744764456377822,0.0,1.0,0,4,-2.183501716595392,0.48483557503462066
135,1.9459101490553132,7.579729894309281,1.205270663041536,0.974025974025974,2,2,0.9745123842156986,0.19693642870525963
79,1.3862943611198906,7.18954502572908,1.1608545975453306,0.981651376146789,1,1,0.5544445373509619,0.1807342733039208
373,0.6931471805599453,3.66612246699132,0.0,1.0,0,4,-3.498730626466063,0.011205905947349604
8,1.9459101490553132,7.687506670317465,0.15915865751441705,0.9840255591054313,2,2,1.190172294770299,0.9802764342412823
211,1.0986122886681098,7.009770204388867,1.1059923959657323,0.9777777777777777,1,4,-0.4127935349595321,0.04801885290727806
52,0.6931471805599453,6.258050656265029,0.0,1.0,0,0,-0.8173219388225393,0.7492290353547717
138,0.6931471805599453,3.353406717825807,0.0,1.0,0,0,-2.5481580688638097,0.10254374115400655
26,2.0794415416798357,8.30346022135619,0.4790408822716772,0.9888268156424581,2,2,1.6332440331298987,0.9382388485573897
186,1.9459101490553132,7.3827837624756185,1.0098841730594255,0.9528301886792453,2,2,0.5692123002399765,0.1263072128938289
84,1.0986122886681098,5.9444777558836455,2.5877640352277083,0.9,1,1,0.2966577026182562,-1.3856209237040538
327,1.0986122886681098,6.398545016483998,0.4603417183339987,0.9846153846153847,0,4,-1.4949622558047901,0.26929595869786943
282,0.6931471805599453,5.926926025970411,0.0,1.0,0,4,-2.0395488838885596,0.5304042957565392
4,2.5649493574615367,7.337438090181038,1.1861681796924293,0.9281045751633987,2,2,2.0035763890322693,0.04492890498573568
236,1.0986122886681098,6.752258693830513,0.48884671704721544,0.9782608695652174,0,4,-0.8973601128072607,0.3500483340490217
45,1.3862943611198906,6.353012598149689,1.8101086078962514,0.7777777777777778,1,1,0.6072889349069835,-1.446782250550857
276,0.6931471805599453,4.6443908991413725,0.0,1.0,0,4,-2.5991187831640103,0.27383980839824995
9,1.0986122886681098,7.288955016552379,1.0986122886681098,0.9166666666666666,1,1,0.6566852116434081,-0.0852671985633763
25,1.6094379124341003,6.5574457470395595,0.9403882834532156,0.975609756097561,1,1,0.6200571363903437,0.20351971229533472
88,0.6931471805599453,4.941999501706118,0.0,1.0,0,0,-1.5877358906501786,0.45817958013435656
63,1.3862943611198906,7.0700611857921905,0.6190392084062234,0.9857142857142858,1,1,0.3542270817208868,0.5120581208866658
68,1.0986122886681098,7.229403900997191,1.0522882169938712,0.9876543209876543,1,1,0.3309376771749125,0.2718400327611432
214,1.0986122886681098,5.87245576052578,2.4203681286504293,0.75,1,1,-0.398581802369966,-2.189934046577288
24,0.6931471805599453,5.944032210673093,0.0,1.0,0,0,-0.8308384558896118,0.7038944999297004
